,llave,cant_indiv,coef,ciudad_origen,tipo,edad_mediana,rango_edad,estrato,ingreso_hogar,rango_ingreso_hog,estado_civ,nivel_edu,viajo,interno,cuantos_int,depto_dest,mpio_dest,fecha_ini,fecha_fin,pernoct,motivo_int,alojamiento,med_transp,gasto_tot,motivo_no,gast_aloj,valgast_aloj,gast_public,valgast_public,gast_alim,gast_aereo,valgast_aereo,excursion,excur_extranj,excur_int,excur_motiv,excur_deptodest,excur_mpiodest,excur_medtransp,excur_valgasttransp,excur_valgastpublic,excur_valgastalim,nombre_mpio_dest,coord_origen,lat_origen,lon_origen,coord_dest,lat_dest,lon_dest
114,3000111_1,4,0.5858568087605175,Cartagena,familia,19.0,15_20,3,3200000.0,3_5,familia,superior_univerisitario,si,si,1,Bolívar,13212.0,30/12/2018 0:00,4/01/2019 0:00,5.0,visita,,publico,600000.0,,no,,no,,si,no,,no,,,,,,,,,,CÓRDOBA,"-1.0006184,37.6267868",-1.0006184,37.6267868,"-79.4088901,-2.0367194",-79.4088901,-2.0367194
117,3000114_1,3,0.2777585537369383,Cartagena,familia,60.0,60_65,3,900000.0,1_2,familia,media_bachiller,si,si,1,Antioquia,5001.0,20/01/2019 0:00,28/01/2019 0:00,8.0,visita,,particular,500000.0,,no,,no,,no,no,,no,,,,,,,,,,MEDELLÍN,"-1.0006184,37.6267868",-1.0006184,37.6267868,"-75.573553,6.2443382",-75.573553,6.2443382
131,3000129_1,3,0.4182476891467352,Tunja,familia,28.0,25_30,2,500000.0,0_1,familia,media_bachiller,si,si,1,Boyacá,15425.0,30/12/2018 0:00,2/01/2019 0:00,3.0,visita,,particular,270000.0,,no,,no,,si,no,,no,,,,,,,,,,MACANAL,"-73.361362,5.5323632",-73.361362,5.5323632,"-73.2854716829602,4.9818602",-73.2854716829602,4.9818602
133,3000130_2,2,0.4883720930232558,Tunja,familia,21.0,20_25,2,550000.0,0_1,familia,primaria,si,si,3,Boyacá,15204.0,31/12/2018 0:00,2/01/2019 0:00,2.0,visita,,publico,100000.0,,no,,si,25000.0,no,no,,no,,,,,,,,,,CÓMBITA,"-73.361362,5.5323632",-73.361362,5.5323632,"-73.309196641478,5.69042285",-73.309196641478,5.69042285
134,3000131_1,5,0.4140704178365012,Tunja,familia,50.0,50_55,2,900000.0,1_2,familia,superior_univerisitario,si,si,1,Boyacá,15469.0,6/01/2019 0:00,7/01/2019 0:00,1.0,vacaciones,,particular,50000.0,,si,20000.0,no,,no,no,,no,,,,,,,,,,MONIQUIRÁ,"-73.361362,5.5323632",-73.361362,5.5323632,"-73.5440979007064,5.86870335",-73.5440979007064,5.86870335
135,3000132_1,3,0.5977603717247102,Tunja,familia,46.0,45_50,2,2500000.0,3_5,familia,superior_univerisitario,si,si,1,Santander,68679.0,17/01/2019 0:00,24/01/2019 0:00,7.0,vacaciones,,particular,1000000.0,,no,,no,,si,no,,si,no,si,Vacaciones,15.0,15646.0,Terrestre particular,10000.0,,50000.0,SAN GIL,"-73.361362,5.5323632",-73.361362,5.5323632,"-73.1312353,6.5552856",-73.1312353,6.5552856
143,3000140_1,3,0.6807194034622489,Tunja,familia,29.0,25_30,2,2000000.0,2_3,familia,superior_tecnico,si,si,1,Arauca,81794.0,13/01/2019 0:00,16/01/2019 0:00,3.0,vacaciones,,particular,1000000.0,,no,,no,,si,no,,no,,,,,,,,,,TAME,"-73.361362,5.5323632",-73.361362,5.5323632,"-71.724362,6.4615657",-71.724362,6.4615657
148,3000145_1,3,0.40804042065127455,Tunja,familia,47.0,45_50,4,3000000.0,3_5,familia,superior_posgrado,si,si,1,Santander,68101.0,6/01/2019 0:00,10/01/2019 0:00,4.0,visita,,particular,700000.0,,no,,no,,si,no,,no,,,,,,,,,,BOLÍVAR,"-73.361362,5.5323632",-73.361362,5.5323632,"-73.770548,5.9899805",-73.770548,5.9899805
149,3000146_1,4,0.4115776397268657,Tunja,familia,50.0,50_55,4,1200000.0,1_2,familia,superior_posgrado,si,si,1,Boyacá,15667.0,3/01/2019 0:00,20/01/2019 0:00,17.0,vacaciones,,particular,1000000.0,,no,,no,,si,no,,no,,,,,,,,,,SAN LUIS DE GACENO,"-73.361362,5.5323632",-73.361362,5.5323632,"-73.1679009,4.8206948",-73.1679009,4.8206948
150,3000147_1,3,0.5465736258427398,Tunja,familia,17.0,15_20,4,10000000.0,5_,familia,superior_bachiller,si,si,1,"Bogotá, D.C.",11001.0,16/01/2019 0:00,21/01/2019 0:00,5.0,visita,,publico,2000000.0,,no,,si,23000.0,si,no,,no,,,,,,,,,,"BOGOTÁ, D.C.","-73.361362,5.5323632",-73.361362,5.5323632,",",,
