,llave,cant_indiv,coef,ciudad_origen,tipo,edad_mediana,rango_edad,estrato,ingreso_hogar,rango_ingreso_hog,estado_civ,nivel_edu,viajo,interno,cuantos_int,depto_dest,mpio_dest,fecha_ini,fecha_fin,pernoct,motivo_int,alojamiento,med_transp,gasto_tot,motivo_no,gast_aloj,valgast_aloj,gast_public,valgast_public,gast_alim,gast_aereo,valgast_aereo,excursion,excur_extranj,excur_int,excur_motiv,excur_deptodest,excur_mpiodest,excur_medtransp,excur_valgasttransp,excur_valgastpublic,excur_valgastalim,nombre_mpio_dest,coord_origen,lat_origen,lon_origen,coord_dest,lat_dest,lon_dest
2700,3002768_1,4,0.3709599957167852,Bogotá,familia,54.0,50_55,1,1400000.0,1_2,familia,media_bachiller,si,si,1,Tolima,73449.0,12/01/2019 0:00,15/01/2019 0:00,3.0,vacaciones,,particular,300000.0,,no,,no,,no_responde,no,,no,,,,,,,,,,MELGAR,"-74.0760439,4.59808",-74.0760439,4.59808,"-74.645158,4.2040453",-74.645158,4.2040453
2701,3002769_1,6,0.7966601457190995,Villavicencio,familia,26.0,25_30,3,2778000.0,3_5,familia,media_bachiller,si,si,1,Huila,41001.0,14/01/2019 0:00,29/01/2019 0:00,15.0,visita,,publico,250000.0,,no,,si,18000.0,si,no,,no,,,,,,,,,,NEIVA,"-73.6206667,4.1315113",-73.6206667,4.1315113,"-75.2794417696023,3.0332673",-75.2794417696023,3.0332673
2703,3002771_1,3,1.0291883453176784,Sincelejo,familia,7.0,0_10,2,1500000.0,1_2,familia,secundaria,si,si,1,Valle del Cauca,76001.0,29/12/2018 0:00,28/01/2019 0:00,30.0,visita,,publico,1800000.0,,no,,no,,si,no,,no,,,,,,,,,,CALI,"-75.4329805907975,9.31542935",-75.4329805907975,9.31542935,"-76.5324943,3.4517923",-76.5324943,3.4517923
2704,3002772_1,5,0.8900348048429334,Sincelejo,familia,33.0,30_35,3,4530000.0,5_,familia,superior_univerisitario,si,si,1,Sucre,70717.0,3/01/2019 0:00,12/01/2019 0:00,9.0,visita,,particular,300000.0,,no,,no,,si,no,,si,no,si,Parientes o amigos,70.0,70717.0,Terrestre particular,30000.0,,,SAN PEDRO,"-75.4329805907975,9.31542935",-75.4329805907975,9.31542935,"-75.0335463392267,9.39663005",-75.0335463392267,9.39663005
2705,3002773_1,3,1.0950849489262884,Villavicencio,familia,5.0,0_10,3,1500000.0,1_2,familia,superior_posgrado,si,si,1,Meta,50573.0,28/01/2019 0:00,29/01/2019 0:00,1.0,visita,,particular,200000.0,,si,50000.0,no,,si,no,,no,,,,,,,,,,PUERTO LÓPEZ,"-73.6206667,4.1315113",-73.6206667,4.1315113,"-72.9584671,4.085013",-72.9584671,4.085013
2712,3002780_1,1,0.0,Bogotá,mujer,20.0,20_25,2,900000.0,1_2,soltero,superior_tecnico,si,si,1,Cundinamarca,25245.0,25/12/2018 0:00,2/01/2019 0:00,8.0,visita,,particular,300000.0,,no,,no,,si,no,,no,,,,,,,,,,EL COLEGIO,"-74.0760439,4.59808",-74.0760439,4.59808,"-74.4254797892848,4.56026905",-74.4254797892848,4.56026905
2715,3002785_1,3,0.7075867722687613,Bogotá,familia,23.0,20_25,3,1400000.0,1_2,familia,media_bachiller,si,si,1,Meta,50001.0,30/12/2018 0:00,4/01/2019 0:00,5.0,visita,,publico,500000.0,,no,,si,5000.0,si,no,,no,,,,,,,,,,VILLAVICENCIO,"-74.0760439,4.59808",-74.0760439,4.59808,"-73.6206667,4.1315113",-73.6206667,4.1315113
2716,3002786_1,2,0.007751937984496123,Bogotá,familia,64.0,60_65,3,0.0,no_reporta,familia,superior_univerisitario,si,si,1,Valle del Cauca,76001.0,15/12/2018 0:00,15/01/2019 0:00,31.0,visita,,aereo,1200000.0,,no,,no,,si,si,360000.0,no,,,,,,,,,,CALI,"-74.0760439,4.59808",-74.0760439,4.59808,"-76.5324943,3.4517923",-76.5324943,3.4517923
2717,3002788_1,3,0.3036686741223649,Bogotá,familia,34.0,30_35,3,1800000.0,2_3,familia,superior_univerisitario,si,si,1,Boyacá,15759.0,26/12/2018 0:00,2/01/2019 0:00,7.0,visita,,publico,600000.0,,no,,no,,si,si,60000.0,no,,,,,,,,,,SOGAMOSO,"-74.0760439,4.59808",-74.0760439,4.59808,"-72.9279328,5.7148307",-72.9279328,5.7148307
2725,3002799_1,3,0.4010464785971853,Bogotá,familia,36.0,35_40,3,3000000.0,3_5,familia,superior_univerisitario,si,si,1,Tolima,73449.0,30/12/2018 0:00,2/01/2019 0:00,3.0,vacaciones,,particular,2500000.0,,no,,no,,si,no,,no,,,,,,,,,,MELGAR,"-74.0760439,4.59808",-74.0760439,4.59808,"-74.645158,4.2040453",-74.645158,4.2040453
2732,3002807_1,3,0.4204378669910692,Sincelejo,familia,52.0,50_55,3,5000000.0,5_,familia,superior_univerisitario,si,si,1,Santander,68001.0,20/12/2018 0:00,6/01/2019 0:00,17.0,vacaciones,,publico,3500000.0,,no,,si,500000.0,si,no,,no,,,,,,,,,,BUCARAMANGA,"-75.4329805907975,9.31542935",-75.4329805907975,9.31542935,"-73.1172869,7.1114611",-73.1172869,7.1114611
2734,3002811_1,5,0.5399610631031986,Bogotá,familia,41.0,40_45,2,2500000.0,3_5,familia,superior_posgrado,si,si,1,Meta,50001.0,31/12/2018 0:00,6/01/2019 0:00,6.0,vacaciones,,particular,500000.0,,si,150000.0,no,,si,no,,no,,,,,,,,,,VILLAVICENCIO,"-74.0760439,4.59808",-74.0760439,4.59808,"-73.6206667,4.1315113",-73.6206667,4.1315113
2736,3002815_1,5,0.7925190343159503,Bogotá,familia,9.0,0_10,1,1000000.0,1_2,familia,media_bachiller,si,si,1,Cundinamarca,25513.0,31/12/2018 0:00,2/01/2019 0:00,2.0,vacaciones,,publico,500000.0,,no,,no,,si,no,,no,,,,,,,,,,PACHO,"-74.0760439,4.59808",-74.0760439,4.59808,"-74.1580379,5.1319719",-74.1580379,5.1319719
2738,3002817_1,3,0.2295320441547956,Bogotá,familia,74.0,70_75,3,1500000.0,1_2,familia,superior_univerisitario,si,si,1,Tolima,73449.0,30/12/2018 0:00,2/01/2019 0:00,3.0,vacaciones,,particular,2000000.0,,si,150000.0,no,,si,no,,no,,,,,,,,,,MELGAR,"-74.0760439,4.59808",-74.0760439,4.59808,"-74.645158,4.2040453",-74.645158,4.2040453
2741,3002820_1,3,0.4991341984846218,Bogotá,familia,23.0,20_25,1,1250000.0,1_2,familia,superior_tecnico,si,si,1,Tolima,73001.0,2/01/2019 0:00,8/01/2019 0:00,6.0,vacaciones,,publico,500000.0,,no,,no,,si,no,,no,,,,,,,,,,IBAGUÉ,"-74.0760439,4.59808",-74.0760439,4.59808,"-75.2430012,4.4446595",-75.2430012,4.4446595
2742,3002821_1,2,0.3888888888888889,Villavicencio,familia,36.0,35_40,3,2600000.0,3_5,familia,superior_posgrado,si,si,1,"Bogotá, D.C.",11001.0,15/01/2019 0:00,18/01/2019 0:00,3.0,visita,,publico,1000000.0,,si,300000.0,si,118000.0,si,no,,no,,,,,,,,,,"BOGOTÁ, D.C.","-73.6206667,4.1315113",-73.6206667,4.1315113,",",,
2756,3002840_1,3,0.1543033499620919,Bogotá,familia,30.0,30_35,3,1800000.0,2_3,familia,superior_posgrado,si,si,1,Cundinamarca,25307.0,30/12/2018 0:00,2/01/2019 0:00,3.0,visita,,particular,200000.0,,no,,no,,si,no,,no,,,,,,,,,,GIRARDOT,"-74.0760439,4.59808",-74.0760439,4.59808,"-74.8015665,4.306643",-74.8015665,4.306643
2767,3002848_1,2,0.008695652173913044,Florencia,familia,57.0,55_60,2,1800000.0,2_3,familia,superior_bachiller,si,si,1,Caquetá,18756.0,16/01/2019 0:00,19/01/2019 0:00,3.0,visita,,publico,150000.0,,no,,no,,no,no,,no,,,,,,,,,,SOLANO,"11.2555757,43.7698712",11.2555757,43.7698712,"-72.5215039819948,0.24063245",-72.5215039819948,0.24063245
2768,3002849_1,5,0.427638569590932,Pasto,familia,39.0,35_40,2,2500000.0,3_5,familia,superior_tecnico,si,si,1,Nariño,52320.0,31/12/2018 0:00,2/01/2019 0:00,2.0,visita,,publico,100000.0,,no,,no,,si,no,,si,no,si,Vacaciones,52.0,52203.0,Terrestre publico,98.0,,98.0,GUAITARILLA,"-77.2782516,1.2146286",-77.2782516,1.2146286,"-77.5483421,1.1305245",-77.5483421,1.1305245
2771,3002852_1,3,0.4513019713980375,Pasto,familia,27.0,25_30,2,400000.0,0_1,familia,primaria,si,si,1,Nariño,52320.0,4/01/2019 0:00,7/01/2019 0:00,3.0,visita,,particular,100000.0,,no,,no,,no,no,,no,,,,,,,,,,GUAITARILLA,"-77.2782516,1.2146286",-77.2782516,1.2146286,"-77.5483421,1.1305245",-77.5483421,1.1305245
2784,3002865_1,4,0.7364478066372567,Sincelejo,familia,22.0,20_25,2,5800000.0,5_,familia,superior_tecnico,si,si,1,Santander,68001.0,16/01/2019 0:00,21/01/2019 0:00,5.0,visita,,aereo,2000000.0,,no,,no,,si,si,1000000.0,si,no,si,Vacaciones,70.0,70820.0,Terrestre particular,100000.0,,100000.0,BUCARAMANGA,"-75.4329805907975,9.31542935",-75.4329805907975,9.31542935,"-73.1172869,7.1114611",-73.1172869,7.1114611
2787,3002868_1,4,0.6370118524269605,Cúcuta,familia,35.0,35_40,4,2500000.0,3_5,familia,superior_univerisitario,si,si,1,Quindio,63001.0,20/12/2018 0:00,28/01/2019 0:00,39.0,visita,,particular,1500000.0,,si,150000.0,no,,si,no,,no,,,,,,,,,,ARMENIA,"-72.5080387,7.8971458",-72.5080387,7.8971458,"-75.7396016646567,4.4923898",-75.7396016646567,4.4923898
2798,3002877_1,3,0.687351286194773,Cartagena,familia,23.0,20_25,1,1750000.0,2_3,familia,media_bachiller,si,si,1,Bolívar,13657.0,31/12/2018 0:00,3/01/2019 0:00,3.0,visita,,publico,50000.0,,no,,no,,no,si,30000.0,no,,,,,,,,,,SAN JUAN NEPOMUCENO,"-1.0006184,37.6267868",-1.0006184,37.6267868,"-75.0840212,9.9511508",-75.0840212,9.9511508
2800,3002879_1,4,0.3862893570903625,Cúcuta,familia,34.0,30_35,3,2000000.0,2_3,familia,superior_tecnico,si,si,1,Norte de Santander,54051.0,4/01/2019 0:00,8/01/2019 0:00,4.0,visita,,publico,280000.0,,no,,no,,si,no,,no,,,,,,,,,,ARBOLEDAS,"-72.5080387,7.8971458",-72.5080387,7.8971458,"-72.7237135,7.6707185",-72.7237135,7.6707185
2808,3002887_1,1,0.0,Cúcuta,hombre,38.0,35_40,4,450000.0,0_1,separado,superior_tecnico,si,si,1,Santander,68001.0,10/01/2019 0:00,11/01/2019 0:00,1.0,visita,,publico,650000.0,,si,70000.0,si,40000.0,si,no,,no,,,,,,,,,,BUCARAMANGA,"-72.5080387,7.8971458",-72.5080387,7.8971458,"-73.1172869,7.1114611",-73.1172869,7.1114611
2815,3002892_1,3,0.8128433340529315,Cartagena,familia,10.0,10_15,1,800000.0,0_1,familia,superior_tecnico,si,si,1,Bolívar,13620.0,30/12/2018 0:00,6/01/2019 0:00,7.0,visita,,publico,200000.0,,no,,no,,no,si,60000.0,no,,,,,,,,,,SAN CRISTÓBAL,"-1.0006184,37.6267868",-1.0006184,37.6267868,"-75.0651165,10.3940196",-75.0651165,10.3940196
2823,3002899_1,4,0.7596257881102341,Cúcuta,familia,18.0,15_20,1,800000.0,0_1,familia,primaria,si,si,1,Norte de Santander,54820.0,27/12/2018 0:00,2/01/2019 0:00,6.0,visita,,publico,202000.0,,no,,no,,si,no,,no,,,,,,,,,,TOLEDO,"-72.5080387,7.8971458",-72.5080387,7.8971458,"-72.4834315,7.3085866",-72.4834315,7.3085866
2824,3002899_2,3,0.7190104361155659,Cúcuta,familia,21.0,20_25,1,500000.0,0_1,familia,media_bachiller,si,si,1,Norte de Santander,54820.0,27/12/2018 0:00,2/01/2019 0:00,6.0,visita,,publico,65000.0,,no,,no,,si,no,,no,,,,,,,,,,TOLEDO,"-72.5080387,7.8971458",-72.5080387,7.8971458,"-72.4834315,7.3085866",-72.4834315,7.3085866
2840,3002913_1,2,0.16279069767441862,Cúcuta,familia,21.0,20_25,1,1200000.0,1_2,familia,superior_bachiller,si,si,1,Norte de Santander,54518.0,12/01/2019 0:00,13/01/2019 0:00,1.0,visita,,publico,104000.0,,no,,si,4000.0,si,no,,no,,,,,,,,,,PAMPLONA,"-72.5080387,7.8971458",-72.5080387,7.8971458,"-72.6464137084406,7.36771875",-72.6464137084406,7.36771875
2861,3002932_1,4,0.50709255283711,Cartagena,familia,27.0,25_30,1,940000.0,1_2,familia,media_bachiller,si,si,1,Bolívar,13873.0,7/01/2019 0:00,10/01/2019 0:00,3.0,otros,,publico,100000.0,,no,,no,,no,no,,no,,,,,,,,,,VILLANUEVA,"-1.0006184,37.6267868",-1.0006184,37.6267868,"-74.1747588,7.4533494",-74.1747588,7.4533494
2875,3002944_1,5,0.5916519493218257,Armenia,familia,35.0,35_40,3,5500000.0,5_,familia,superior_posgrado,si,si,1,Caldas,17442.0,9/12/2018 0:00,8/01/2019 0:00,30.0,visita,,particular,1500000.0,,no,,no,,si,no,,si,no,si,Vacaciones,76.0,76147.0,Terrestre particular,60000.0,,25000.0,MARMATO,"44.6736646,40.7696272",44.6736646,40.7696272,"-75.5988438,5.4746415",-75.5988438,5.4746415
2888,3002957_1,1,0.0,Armenia,hombre,58.0,55_60,4,500000.0,0_1,soltero,media_bachiller,si,si,1,Valle del Cauca,76036.0,18/01/2019 0:00,21/01/2019 0:00,3.0,visita,,publico,100000.0,,no,,no,,si,no,,si,no,si,Parientes o amigos,76.0,76001.0,Terrestre publico,70000.0,5000.0,6500.0,ANDALUCÍA,"44.6736646,40.7696272",44.6736646,40.7696272,"-76.1670623,4.1694199",-76.1670623,4.1694199
2906,3002974_1,4,0.3975569951018791,Cartagena,familia,49.0,45_50,1,950000.0,1_2,familia,superior_tecnico,si,si,1,Cesar,20001.0,30/12/2018 0:00,8/01/2019 0:00,9.0,visita,,publico,300000.0,,no,,no,,si,si,100000.0,no,,,,,,,,,,VALLEDUPAR,"-1.0006184,37.6267868",-1.0006184,37.6267868,"-73.3757933882845,10.34311145",-73.3757933882845,10.34311145
2912,3002979_1,2,0.06382978723404255,Armenia,familia,23.0,20_25,4,2500000.0,3_5,familia,superior_posgrado,si,si,1,La Guajira,44001.0,17/01/2019 0:00,23/01/2019 0:00,6.0,vacaciones,,publico,800000.0,,si,100000.0,si,150000.0,si,si,215000.0,si,no,si,Vacaciones,63.0,63190.0,Terrestre particular,10000.0,,20000.0,RIOHACHA,"44.6736646,40.7696272",44.6736646,40.7696272,"-72.9069784,11.544634",-72.9069784,11.544634
2915,3002982_1,2,0.020408163265306117,Armenia,familia,24.0,20_25,4,100000.0,0_1,familia,superior_tecnico,si,si,2,Quindio,63690.0,20/01/2019 0:00,21/01/2019 0:00,1.0,vacaciones,,publico,110000.0,,si,30000.0,no,,si,no,,si,no,si,Vacaciones,63.0,63130.0,Terrestre particular,10000.0,,10000.0,SALENTO,"44.6736646,40.7696272",44.6736646,40.7696272,"-75.569799,4.6373012",-75.569799,4.6373012
2922,3002989_1,3,0.2507267970004972,Popayán,familia,49.0,45_50,3,2400000.0,2_3,familia,superior_tecnico,si,si,1,Valle del Cauca,76834.0,13/01/2019 0:00,14/01/2019 0:00,1.0,visita,,publico,200000.0,,no,,no,,si,no,,no,,,,,,,,,,TULUÁ,"-76.6062744,2.4420181",-76.6062744,2.4420181,"-76.0448661084283,4.03756405",-76.0448661084283,4.03756405
2950,3003022_1,2,0.2692307692307692,Valledupar,familia,26.0,25_30,2,1500000.0,1_2,familia,media_bachiller,si,si,1,La Guajira,44430.0,28/11/2018 0:00,25/01/2019 0:00,58.0,visita,,publico,200000.0,,no,,no,,no,no,,no,,,,,,,,,,MAICAO,"-73.3757933882845,10.34311145",-73.3757933882845,10.34311145,"-72.2388947,11.3779233",-72.2388947,11.3779233
2952,3003025_1,4,0.4640895802358054,Valledupar,familia,25.0,25_30,2,3500000.0,3_5,familia,superior_tecnico,si,si,1,Atlántico,8001.0,16/01/2019 0:00,18/01/2019 0:00,2.0,salud,,particular,800000.0,,si,200000.0,no,,si,no,,no,,,,,,,,,,BARRANQUILLA,"-73.3757933882845,10.34311145",-73.3757933882845,10.34311145,"-74.8013085,10.9799669",-74.8013085,10.9799669
2959,3003033_1,2,0.29411764705882354,Pereira,familia,42.0,40_45,3,1000000.0,1_2,familia,superior_tecnico,si,si,3,Quindio,63001.0,28/01/2019 0:00,29/01/2019 0:00,1.0,visita,,particular,150000.0,,no,,no,,si,no,,no,,,,,,,,,,ARMENIA,"-75.6946451,4.8142912",-75.6946451,4.8142912,"-75.7396016646567,4.4923898",-75.7396016646567,4.4923898
2963,3003037_1,2,0.4065934065934066,Tunja,familia,45.0,45_50,3,1700000.0,2_3,familia,superior_bachiller,si,si,1,Quindio,63272.0,23/12/2018 0:00,8/01/2019 0:00,16.0,vacaciones,,particular,1000000.0,,no,,si,100000.0,si,no,,si,no,si,Parientes o amigos,11.0,11001.0,Terrestre publico,,100000.0,100000.0,FILANDIA,"-73.361362,5.5323632",-73.361362,5.5323632,"-75.6579957,4.6750767",-75.6579957,4.6750767
2970,3003044_1,3,0.2122891110412088,Sincelejo,familia,57.0,55_60,1,600000.0,0_1,familia,media_bachiller,si,si,1,Córdoba,23182.0,30/12/2018 0:00,2/01/2019 0:00,3.0,visita,,particular,100000.0,,no,,no,,si,no,,no,,,,,,,,,,CHINÚ,"-75.4329805907975,9.31542935",-75.4329805907975,9.31542935,"-75.3866274941264,9.02310485",-75.3866274941264,9.02310485
2972,3003046_1,1,0.0,Tunja,hombre,23.0,20_25,4,900000.0,1_2,soltero,superior_univerisitario,si,si,1,Casanare,85250.0,22/12/2018 0:00,11/01/2019 0:00,20.0,visita,,publico,2000000.0,,no,,si,300000.0,si,no,,no,,,,,,,,,,PAZ DE ARIPORO,"-73.361362,5.5323632",-73.361362,5.5323632,"-70.9892140222308,5.77222035",-70.9892140222308,5.77222035
2977,3003051_1,2,0.012345679012345678,Pereira,familia,40.0,40_45,6,4000000.0,3_5,familia,superior_posgrado,si,si,1,Bolívar,13212.0,18/12/2018 0:00,24/01/2019 0:00,37.0,visita,,publico,2000000.0,,no,,si,40000.0,si,no,,si,no,si,Vacaciones,63.0,63548.0,Terrestre publico,32000.0,,50000.0,CÓRDOBA,"-75.6946451,4.8142912",-75.6946451,4.8142912,"-79.4088901,-2.0367194",-79.4088901,-2.0367194
2984,3003058_1,1,0.0,Pereira,hombre,41.0,40_45,6,2500000.0,3_5,separado,media_bachiller,si,si,7,Nariño,52001.0,4/01/2019 0:00,28/01/2019 0:00,24.0,negocios,,aereo,6000000.0,,no_responde,,no_responde,,no_responde,no_responde,,si,no,si,Negocios,17.0,17001.0,Terrestre particular,150000.0,,,PASTO,"-75.6946451,4.8142912",-75.6946451,4.8142912,"-77.2782516,1.2146286",-77.2782516,1.2146286
2985,3003059_1,5,0.7393704092803015,Valledupar,familia,9.0,0_10,3,3000000.0,3_5,familia,superior_univerisitario,si,si,1,Atlántico,8001.0,5/01/2019 0:00,9/01/2019 0:00,4.0,vacaciones,,particular,2000000.0,,no,,no,,si,no,,no,,,,,,,,,,BARRANQUILLA,"-73.3757933882845,10.34311145",-73.3757933882845,10.34311145,"-74.8013085,10.9799669",-74.8013085,10.9799669
2992,3003066_1,2,0.006993006993006993,Pereira,familia,71.0,70_75,6,0.0,no_reporta,familia,superior_posgrado,si,si,1,Chocó,27787.0,11/01/2019 0:00,26/01/2019 0:00,15.0,vacaciones,,aereo,4000000.0,,no,,no,,no_responde,no_responde,,si,no,si,Vacaciones,66.0,66075.0,Terrestre particular,,,,TADÓ,"-75.6946451,4.8142912",-75.6946451,4.8142912,"-76.3796929515044,5.2672548",-76.3796929515044,5.2672548
2996,3003070_1,3,0.4040610178208843,Pereira,familia,51.0,50_55,6,6000000.0,5_,familia,superior_univerisitario,si,si,1,Boyacá,15814.0,10/01/2019 0:00,22/01/2019 0:00,12.0,otros,,aereo,50000.0,,no,,no,,no,si,50000.0,no,,,,,,,,,,TOCA,"-75.6946451,4.8142912",-75.6946451,4.8142912,"-73.1684500204949,5.5771231",-73.1684500204949,5.5771231
3004,3003078_1,1,0.0,Pereira,hombre,32.0,30_35,6,5000000.0,5_,soltero,superior_bachiller,si,si,2,Antioquia,5001.0,20/01/2019 0:00,31/01/2019 0:00,11.0,negocios,,particular,2000000.0,,no,,no,,si,no,,si,no,si,Negocios,17.0,17001.0,Terrestre particular,80000.0,,100000.0,MEDELLÍN,"-75.6946451,4.8142912",-75.6946451,4.8142912,"-75.573553,6.2443382",-75.573553,6.2443382
3007,3003081_1,1,0.0,Pereira,mujer,57.0,55_60,6,4000000.0,3_5,soltero,superior_univerisitario,si,si,1,"Bogotá, D.C.",11001.0,21/12/2018 0:00,7/01/2019 0:00,17.0,vacaciones,,aereo,2500000.0,,no,,si,60000.0,si,si,240000.0,no,,,,,,,,,,"BOGOTÁ, D.C.","-75.6946451,4.8142912",-75.6946451,4.8142912,",",,
3015,3003090_1,5,0.78727027347957,Sincelejo,familia,13.0,10_15,2,900000.0,1_2,familia,superior_univerisitario,si,si,15,Sucre,70823.0,15/01/2019 0:00,17/01/2019 0:00,2.0,visita,,particular,50000.0,,no,,no,,si,no,,no,,,,,,,,,,TOLÚ VIEJO,"-75.4329805907975,9.31542935",-75.4329805907975,9.31542935,",",,
3016,3003091_1,1,0.0,Pereira,hombre,23.0,20_25,3,600000.0,0_1,soltero,superior_bachiller,si,si,1,Quindio,63401.0,6/01/2019 0:00,10/01/2019 0:00,4.0,vacaciones,,particular,600000.0,,no_responde,,no_responde,,no_responde,no,,no,,,,,,,,,,LA TEBAIDA,"-75.6946451,4.8142912",-75.6946451,4.8142912,"-75.7887314,4.4512175",-75.7887314,4.4512175
3017,3003092_1,2,0.24675324675324675,Valledupar,familia,38.0,35_40,3,2500000.0,3_5,familia,superior_univerisitario,si,si,1,Cesar,20175.0,6/01/2019 0:00,11/01/2019 0:00,5.0,visita,,particular,200000.0,,no,,no,,no_responde,no_responde,,no,,,,,,,,,,CHIMICHAGUA,"-73.3757933882845,10.34311145",-73.3757933882845,10.34311145,"-73.8200515024227,9.2380455",-73.8200515024227,9.2380455
3031,3003106_1,7,0.7124729668779413,Barranquilla,familia,24.0,20_25,1,800000.0,0_1,familia,media_bachiller,si,si,1,Sucre,70215.0,28/12/2018 0:00,12/01/2019 0:00,15.0,visita,,publico,400000.0,,no,,si,30000.0,si,no,,no,,,,,,,,,,COROZAL,"-74.8013085,10.9799669",-74.8013085,10.9799669,"-75.2947262,9.3192389",-75.2947262,9.3192389
3054,3003127_1,6,0.8470186991080743,Riohacha,familia,11.0,10_15,1,300000.0,0_1,familia,primaria,si,si,1,La Guajira,44847.0,14/01/2019 0:00,16/01/2019 0:00,2.0,visita,,publico,80000.0,,no,,no,,si,no,,no,,,,,,,,,,URIBIA,"-72.9069784,11.544634",-72.9069784,11.544634,"-71.6768607116711,11.99171685",-71.6768607116711,11.99171685
3055,3003128_1,3,0.6458631871060055,Sincelejo,familia,33.0,30_35,2,1800000.0,2_3,familia,superior_tecnico,si,si,1,Bolívar,13430.0,5/01/2019 0:00,7/01/2019 0:00,2.0,visita,,particular,150000.0,,no,,no,,si,no,,no,,,,,,,,,,MAGANGUÉ,"-75.4329805907975,9.31542935",-75.4329805907975,9.31542935,"-74.7992531184879,9.1427203",-74.7992531184879,9.1427203
3060,3003133_1,3,0.6840287732716336,Valledupar,familia,11.0,10_15,1,850000.0,1_2,familia,media_bachiller,si,si,1,Cesar,20400.0,30/12/2018 0:00,8/01/2019 0:00,9.0,vacaciones,,publico,200000.0,,no,,no,,si,no,,no,,,,,,,,,,LA JAGUA DE IBIRICO,"-73.3757933882845,10.34311145",-73.3757933882845,10.34311145,"-73.3328147,9.5613975",-73.3328147,9.5613975
3074,3003146_1,4,0.6647549989756053,Sincelejo,familia,24.0,20_25,2,4000000.0,3_5,familia,superior_posgrado,si,si,1,Córdoba,23570.0,3/01/2019 0:00,6/01/2019 0:00,3.0,visita,,particular,300000.0,,no,,no,,si,no,,no,,,,,,,,,,PUEBLO NUEVO,"-75.4329805907975,9.31542935",-75.4329805907975,9.31542935,"-75.5080331,8.5009416",-75.5080331,8.5009416
3079,3003151_1,5,0.7904444486598601,Valledupar,familia,33.0,30_35,3,5000000.0,5_,familia,superior_univerisitario,si,si,1,Magdalena,47001.0,30/12/2018 0:00,3/01/2019 0:00,4.0,vacaciones,,publico,1500000.0,,no,,no_responde,,si,no,,no,,,,,,,,,,SANTA MARTA,"-73.3757933882845,10.34311145",-73.3757933882845,10.34311145,"-73.8803519997939,11.08665565",-73.8803519997939,11.08665565
3081,3003153_1,2,0.07547169811320754,Ibagué,familia,53.0,50_55,4,450000.0,0_1,familia,superior_univerisitario,si,si,1,"Bogotá, D.C.",11001.0,1/01/2019 0:00,3/01/2019 0:00,2.0,visita,,publico,150000.0,,no,,si,100000.0,no,no,,no,,,,,,,,,,"BOGOTÁ, D.C.","-75.2430012,4.4446595",-75.2430012,4.4446595,",",,
3102,3003174_1,1,0.0,Valledupar,hombre,27.0,25_30,1,1100000.0,1_2,soltero,superior_tecnico,si,si,1,Magdalena,47001.0,2/01/2019 0:00,5/01/2019 0:00,3.0,visita,,publico,1600000.0,,si,240000.0,si,300000.0,si,no,,no,,,,,,,,,,SANTA MARTA,"-73.3757933882845,10.34311145",-73.3757933882845,10.34311145,"-73.8803519997939,11.08665565",-73.8803519997939,11.08665565
3111,3003183_1,3,0.3998810762572199,Riohacha,familia,62.0,60_65,2,2000000.0,2_3,familia,superior_univerisitario,si,si,1,Atlántico,8001.0,28/12/2018 0:00,4/01/2019 0:00,7.0,visita,,particular,600000.0,,no,,no,,si,no,,no,,,,,,,,,,BARRANQUILLA,"-72.9069784,11.544634",-72.9069784,11.544634,"-74.8013085,10.9799669",-74.8013085,10.9799669
3122,3003194_1,4,0.4739372409932481,Ibagué,familia,37.0,35_40,3,900000.0,1_2,familia,superior_tecnico,si,si,1,Caldas,17001.0,5/01/2019 0:00,7/01/2019 0:00,2.0,vacaciones,,particular,366000.0,,si,200000.0,no,,si,no,,si,no,si,Vacaciones,73.0,73547.0,Terrestre particular,20000.0,,30000.0,MANIZALES,"-75.2430012,4.4446595",-75.2430012,4.4446595,"-75.5173198,5.0681104",-75.5173198,5.0681104
3131,3003203_1,1,0.0,Riohacha,hombre,39.0,35_40,1,750000.0,0_1,separado,primaria,si,si,1,Antioquia,5001.0,10/01/2019 0:00,21/01/2019 0:00,11.0,visita,,particular,1100000.0,,no,,no,,si,no,,no,,,,,,,,,,MEDELLÍN,"-72.9069784,11.544634",-72.9069784,11.544634,"-75.573553,6.2443382",-75.573553,6.2443382
3134,3003206_1,1,0.0,Ibagué,mujer,52.0,50_55,4,2000000.0,2_3,soltero,superior_tecnico,si,si,2,"Bogotá, D.C.",11001.0,25/01/2019 0:00,29/01/2019 0:00,4.0,visita,,particular,100000.0,,no,,no,,no,no,,no,,,,,,,,,,"BOGOTÁ, D.C.","-75.2430012,4.4446595",-75.2430012,4.4446595,",",,
3139,3003211_1,2,0.5769230769230769,Ibagué,familia,26.0,25_30,2,850000.0,1_2,familia,secundaria,si,si,1,"Bogotá, D.C.",11001.0,26/01/2019 0:00,27/01/2019 0:00,1.0,visita,,publico,80000.0,,no,,si,20000.0,si,no,,no,,,,,,,,,,"BOGOTÁ, D.C.","-75.2430012,4.4446595",-75.2430012,4.4446595,",",,
