,nombre_mpio_dest,lat_dest,lon_dest
125,QUIMBAYA,-75.8023799136515,4.613238099999999
126,ARANZAZU,-75.4613816960263,5.2791449
127,LORICA,-75.87850891819559,9.189007
128,CALI,-76.5324943,3.4517922999999997
129,FILADELFIA,-75.58736200281409,5.2905202000000005
130,GACHANTIVÁ,-73.5360398524166,5.7422941
131,SINCELEJO,-75.4329805907975,9.31542935
132,CALI,-76.5324943,3.4517922999999997
133,"BOGOTÁ, D.C.",,
134,BUENAVENTURA,-76.9807757700535,3.6707494
135,TULUÁ,-76.0448661084283,4.03756405
136,PUERTO LÓPEZ,-72.9584671,4.085013
137,SANTA MARTA,-73.88035199979392,11.08665565
138,GUAMAL,-74.2261281,9.1445344
139,MANIZALES,-75.5173198,5.068110400000001
140,SALAMINA,-75.38467375730959,5.344464
141,BOYACÁ,-73.3615406,5.4545233
142,VILLAVICENCIO,-73.6206667,4.1315113
143,GUATAPÉ,-75.1668834631162,6.2525941
144,DUITAMA,-73.0338939,5.8277055
145,LA DORADA,-74.6787234886909,5.53219675
146,RESTREPO,-73.59681596831891,4.29449375
147,SABANA DE TORRES,-73.49988590000001,7.3939416
148,CÚCUTA,-72.5080387,7.8971458
149,ARMENIA,-75.7396016646567,4.4923898
150,GIRARDOT,-74.8015665,4.306643
151,MESETAS,-74.0438661,3.3840275999999996
152,VILLAVICENCIO,-73.6206667,4.1315113
153,HONDA,-74.7361304,5.2106086
154,CÚCUTA,-72.5080387,7.8971458
155,ALBÁN,-77.5685988,1.0962968000000002
156,SAN ANDRÉS DE TUMACO,-78.50193730000001,2.2830077
157,CARTAGENA DE INDIAS,-75.48929455630041,10.413179199999998
158,CALI,-76.5324943,3.4517922999999997
159,ROSAS,-76.7392875,2.2621017999999995
160,SAN RAFAEL,-75.01412507491351,6.30743165
161,SAN JUAN DEL CESAR,-73.08446070179829,10.81475945
162,BARRANQUILLA,-74.80130849999999,10.9799669
163,SANTA FÉ DE ANTIOQUIA,-75.8277746,6.5564008000000005
164,VALPARAÍSO,-75.6247028,5.615384099999999
165,TRUJILLO,-76.3186782,4.2122451
166,CUBARRAL,-73.8370737,3.7921096
167,PUERTO GAITÁN,-72.08295090000001,4.3120724
168,"BOGOTÁ, D.C.",,
169,CIÉNAGA,-73.9538368494131,10.8567448
170,NECOCLÍ,-76.781487,8.4233906
171,SAN CARLOS,-74.94219336463199,6.19008655
172,SAN JOSÉ DE LA MONTAÑA,-75.6753094098452,6.81614395
173,EL CARMEN DE VIBORAL,-75.2607801425401,5.98195145
174,CALI,-76.5324943,3.4517922999999997
175,SAN BERNARDO DEL VIENTO,-75.9536761,9.353219000000001
176,HATONUEVO,-72.7600808,11.0675576
177,RIOHACHA,-72.90697840000001,11.544634
178,SANTA MARTA,-73.88035199979392,11.08665565
179,"BOGOTÁ, D.C.",,
180,PLATO,-74.7820016,9.7904163
181,SANTA MARTA,-73.88035199979392,11.08665565
182,FUNDACIÓN,-73.84076322911649,10.4593846
183,MEDELLÍN,-75.573553,6.2443382000000005
184,LOS PALMITOS,-75.2681334,9.380552900000001
185,JERICÓ,-75.76808042141809,5.76440055
186,FUSAGASUGÁ,-74.3644854,4.3369235
187,SIMIJACA,-73.85230390000001,5.503337200000001
188,GIRARDOT,-74.8015665,4.306643
189,PEREIRA,-75.69464509999999,4.8142912
190,BARRANCABERMEJA,-73.75919805296999,7.02691215
191,MONGUÍ,-72.8319334358739,5.6981559
192,IZA,-72.9794613,5.61222
193,VILLAVICENCIO,-73.6206667,4.1315113
194,ANAPOIMA,-74.5249304448066,4.5638824
195,MARÍA LA BAJA,-75.3019515,9.9840479
196,CIÉNAGA DE ORO,-75.6210036,8.8746769
197,SAHAGÚN,-75.4521772427306,8.79743105
198,"BOGOTÁ, D.C.",,
199,FONSECA,-72.7820258353363,10.84200945
200,JENESANO,-73.38852474734891,5.3728385
201,ARMENIA,-75.7396016646567,4.4923898
202,ARMENIA,-75.7396016646567,4.4923898
203,TURMEQUÉ,-73.5115862563329,5.30145575
204,BARBOSA,-73.6124368,5.9326035
205,CHIQUINQUIRÁ,-73.7737122500415,5.62955415
206,SASAIMA,-74.4331151,4.9645773
207,RAMIRIQUÍ,-73.3040738372255,5.3289040000000005
208,LA MESA,-73.87693829999999,4.2141468
209,MELGAR,-74.645158,4.2040453
210,EL SANTUARIO,-75.2651735797388,6.123278599999999
211,CALI,-76.5324943,3.4517922999999997
212,MEDELLÍN,-75.573553,6.2443382000000005
213,QUIBDÓ,-76.6540463,5.684570900000001
214,PENSILVANIA,-75.1175706,5.3795316
215,PENSILVANIA,-75.1175706,5.3795316
216,PALMIRA,-76.2988048,3.5308373
217,IBAGUÉ,-75.2430012,4.4446595
218,PUERTO RICO,-75.15309690000001,1.9093919999999998
219,NEIVA,-75.2794417696023,3.0332673
220,NEIVA,-75.2794417696023,3.0332673
221,LA CRUZ,-76.9711667,1.6003353999999999
222,SILVIA,-76.378424,2.6115436
223,MEDELLÍN,-75.573553,6.2443382000000005
224,"BOGOTÁ, D.C.",,
225,"BOGOTÁ, D.C.",,
226,MEDELLÍN,-75.573553,6.2443382000000005
227,CALDONO,-76.4836526,2.7963259999999996
228,CALI,-76.5324943,3.4517922999999997
229,CHIRIGUANÁ,-73.6016974,9.3636401
230,AGUSTÍN CODAZZI,-73.2387011,10.0374894
231,ARIGUANÍ,-74.0599546310224,9.800546699999998
232,DISTRACCIÓN,-72.88756690000001,10.899368800000001
233,MEDELLÍN,-75.573553,6.2443382000000005
234,VALLEDUPAR,-73.3757933882845,10.34311145
235,BARRANQUILLA,-74.80130849999999,10.9799669
236,EL BANCO,-73.97230909999999,8.995375300000001
237,VALLEDUPAR,-73.3757933882845,10.34311145
238,"BOGOTÁ, D.C.",,
239,LA JAGUA DE IBIRICO,-73.3328147,9.5613975
240,IBAGUÉ,-75.2430012,4.4446595
241,LORICA,-75.87850891819559,9.189007
242,TOLÚ VIEJO,,
243,SINCELEJO,-75.4329805907975,9.31542935
244,MOÑITOS,-76.1255958971314,9.19958045
245,CARTAGENA DE INDIAS,-75.48929455630041,10.413179199999998
246,BARRANQUILLA,-74.80130849999999,10.9799669
247,SAN ANTERO,-75.7595056,9.373016
248,SAN ANTERO,-75.7595056,9.373016
249,MONTELÍBANO,-75.5412557076151,7.76147915
250,ATRATO,-76.82937059999999,6.5178226
251,LLORÓ,-76.3725648560401,5.5844842
252,MEDELLÍN,-75.573553,6.2443382000000005
253,MEDELLÍN,-75.573553,6.2443382000000005
254,CALI,-76.5324943,3.4517922999999997
255,NEIVA,-75.2794417696023,3.0332673
256,SAN SEBASTIÁN DE MARIQUITA,,
257,SANTA MARTA,-73.88035199979392,11.08665565
258,"BOGOTÁ, D.C.",,
259,PAICOL,-75.71135279878791,2.4041033
260,PASTO,-77.27825159999999,1.2146286
261,FUSAGASUGÁ,-74.3644854,4.3369235
262,SAN AGUSTÍN,-75.64308609999999,2.5785612
263,"BOGOTÁ, D.C.",,
264,VALLEDUPAR,-73.3757933882845,10.34311145
265,SAMACÁ,-73.50782394420109,5.47286745
266,BARRANQUILLA,-74.80130849999999,10.9799669
267,MAICAO,-72.2388947,11.3779233
268,SANTA MARTA,-73.88035199979392,11.08665565
269,MAICAO,-72.2388947,11.3779233
270,SANTA MARTA,-73.88035199979392,11.08665565
271,BARRANQUILLA,-74.80130849999999,10.9799669
272,FONSECA,-72.7820258353363,10.84200945
273,BARRANQUILLA,-74.80130849999999,10.9799669
274,VALLEDUPAR,-73.3757933882845,10.34311145
275,BARRANQUILLA,-74.80130849999999,10.9799669
276,"BOGOTÁ, D.C.",,
277,ARIGUANÍ,-74.0599546310224,9.800546699999998
278,BARRANQUILLA,-74.80130849999999,10.9799669
279,MEDELLÍN,-75.573553,6.2443382000000005
280,BARRANCA DE UPÍA,,
281,CHIVOR,-73.3683236,4.8880351
282,SAN CARLOS DE GUAROA,,
283,"BOGOTÁ, D.C.",,
284,"BOGOTÁ, D.C.",,
285,AGUAZUL,-72.55084599999999,5.1708408
286,FUENTEDEORO,,
287,SAN JUAN DE ARAMA,,
288,ZIPAQUIRÁ,-74.06250300741101,5.0620430999999995
289,BUESACO,-77.123151775,1.3292917
290,CALI,-76.5324943,3.4517922999999997
291,CHACHAGÜÍ,-77.2743657529271,1.4051167
292,ARBOLEDA,-77.539261,1.3438199
293,PEREIRA,-75.69464509999999,4.8142912
294,BUGALAGRANDE,-76.0965637684672,4.20102915
295,CHINÁCOTA,-72.59748920692759,7.577922900000001
296,CHINÁCOTA,-72.59748920692759,7.577922900000001
297,MONTENEGRO,-75.75070809999998,4.5664176
298,MONTENEGRO,-75.75070809999998,4.5664176
299,PEREIRA,-75.69464509999999,4.8142912
300,VILLA DE SAN DIEGO DE UBATÉ,,
301,POPAYÁN,-76.6062744,2.4420181
302,PEREIRA,-75.69464509999999,4.8142912
303,CALARCÁ,-75.64028929999999,4.5299057000000005
304,GIRARDOT,-74.8015665,4.306643
305,ANZOÁTEGUI,-75.09387480000001,4.6312166
306,"BOGOTÁ, D.C.",,
307,"BOGOTÁ, D.C.",,
308,GUATAPÉ,-75.1668834631162,6.2525941
309,CALI,-76.5324943,3.4517922999999997
310,"BOGOTÁ, D.C.",,
311,QUIBDÓ,-76.6540463,5.684570900000001
312,MANIZALES,-75.5173198,5.068110400000001
313,CALI,-76.5324943,3.4517922999999997
314,IBAGUÉ,-75.2430012,4.4446595
315,PUERTO TRIUNFO,-74.6407965,5.8689335
316,EL CARMEN DE CHUCURÍ,-73.5115695,6.6986924
317,MÁLAGA,-72.7324563,6.699661
318,BARRANQUILLA,-74.80130849999999,10.9799669
319,PEREIRA,-75.69464509999999,4.8142912
320,MONTERÍA,-75.887029,8.7558921
321,MAJAGUAL,-74.7294456413385,8.56187075
322,BARRANQUILLA,-74.80130849999999,10.9799669
323,SANTIAGO DE TOLÚ,-75.58417940000001,9.5241138
324,MONTERÍA,-75.887029,8.7558921
325,MEDELLÍN,-75.573553,6.2443382000000005
326,SANTA MARTA,-73.88035199979392,11.08665565
327,ORTEGA,-75.2524528909446,3.93806235
328,ARMENIA,-75.7396016646567,4.4923898
329,LÍBANO,-75.0647738,4.9229399
330,GIRARDOT,-74.8015665,4.306643
331,PEREIRA,-75.69464509999999,4.8142912
332,SANTA MARTA,-73.88035199979392,11.08665565
333,MANIZALES,-75.5173198,5.068110400000001
334,ROVIRA,-75.2390027,4.241185
335,"BOGOTÁ, D.C.",,
336,CAMPOALEGRE,-75.3247179139157,2.6454014
337,"BOGOTÁ, D.C.",,
338,"BOGOTÁ, D.C.",,
339,POPAYÁN,-76.6062744,2.4420181
340,BOCHALEMA,-72.6544648110227,7.64462055
341,SAN ANDRÉS DE TUMACO,-78.50193730000001,2.2830077
342,BOLÍVAR,-76.9665816,1.8368156000000002
343,PROVIDENCIA,,
344,BUENAVENTURA,-76.9807757700535,3.6707494
345,SUÁREZ,-76.75027451071429,3.0201303
346,PASTO,-77.27825159999999,1.2146286
347,POPAYÁN,-76.6062744,2.4420181
348,CAJIBÍO,-76.7165015826487,2.655067
349,CARTAGENA DE INDIAS,-75.48929455630041,10.413179199999998
350,MEDELLÍN,-75.573553,6.2443382000000005
351,ARACATACA,-74.1896036,10.5845901
352,CHINCHINÁ,-75.5314733,5.035387200000001
353,CAICEDONIA,-75.8399715899257,4.3079198
354,MEDELLÍN,-75.573553,6.2443382000000005
355,PEREIRA,-75.69464509999999,4.8142912
356,CALI,-76.5324943,3.4517922999999997
357,CALI,-76.5324943,3.4517922999999997
358,EL PAUJÍL,-75.32605190000001,1.5708531000000001
359,MONTENEGRO,-75.75070809999998,4.5664176
360,GUATAPÉ,-75.1668834631162,6.2525941
361,MEDELLÍN,-75.573553,6.2443382000000005
362,LA UNIÓN,-77.1305999,1.5989976000000001
363,SALAMINA,-75.38467375730959,5.344464
364,PASTO,-77.27825159999999,1.2146286
365,ALBÁN,-77.5685988,1.0962968000000002
366,ACACÍAS,-73.7583005,3.9861122000000004
367,LÍBANO,-75.0647738,4.9229399
368,"BOGOTÁ, D.C.",,
369,SANTA MARTA,-73.88035199979392,11.08665565
370,PALESTINA,-75.67489022817179,5.0652614
371,TIPACOQUE,-72.70010777857351,6.4279842
372,MEDELLÍN,-75.573553,6.2443382000000005
373,SAN LUIS,-75.095892,4.1316073
374,CÓMBITA,-73.30919664147801,5.69042285
375,GRANADA,-73.7051174,3.548259
376,MONIQUIRÁ,-73.5440979007064,5.86870335
377,ZIPAQUIRÁ,-74.06250300741101,5.0620430999999995
378,ARBELÁEZ,-74.41247973697679,4.23374295
379,CHINAVITA,-73.33495822266191,5.2062439000000005
380,PUERTO RICO,-75.15309690000001,1.9093919999999998
381,VILLAPINZÓN,-73.5930211495679,5.2443517
382,VILLAPINZÓN,-73.5930211495679,5.2443517
383,CÚCUTA,-72.5080387,7.8971458
384,SAN JOSÉ DE PARE,-73.53632793257,6.0004695
385,"BOGOTÁ, D.C.",,
386,SANTANDER DE QUILICHAO,-76.5101993348701,2.99828845
387,SUSACÓN,-72.6918571551612,6.23229415
388,SAN ANDRÉS,,
389,SAN ANDRÉS DE TUMACO,-78.50193730000001,2.2830077
390,CARTAGENA DE INDIAS,-75.48929455630041,10.413179199999998
391,GARZÓN,-75.5551444935525,2.1625834999999998
392,CALI,-76.5324943,3.4517922999999997
393,SABANA DE TORRES,-73.49988590000001,7.3939416
394,SANTA MARTA,-73.88035199979392,11.08665565
395,CARTAGENA DE INDIAS,-75.48929455630041,10.413179199999998
396,CAÑASGORDAS,-76.0462452454564,6.814043799999999
397,SAHAGÚN,-75.4521772427306,8.79743105
398,SABANA DE TORRES,-73.49988590000001,7.3939416
399,SANTA MARTA,-73.88035199979392,11.08665565
400,POPAYÁN,-76.6062744,2.4420181
401,SANTIAGO DE TOLÚ,-75.58417940000001,9.5241138
402,"BOGOTÁ, D.C.",,
403,BUENAVENTURA,-76.9807757700535,3.6707494
404,MEDELLÍN,-75.573553,6.2443382000000005
405,SANTA ROSA DE CABAL,-75.62036259999999,4.8653719
406,MEDELLÍN,-75.573553,6.2443382000000005
407,TAMINANGO,-77.2772963,1.5696216
408,BARRANQUILLA,-74.80130849999999,10.9799669
409,CARTAGENA DE INDIAS,-75.48929455630041,10.413179199999998
410,SANTACRUZ,-77.67723240000001,1.2216539
411,CALARCÁ,-75.64028929999999,4.5299057000000005
412,PEREIRA,-75.69464509999999,4.8142912
413,SOCHA,-72.6911515,5.997488
414,COROZAL,-75.2947262,9.3192389
415,CARTAGENA DE INDIAS,-75.48929455630041,10.413179199999998
416,NEIVA,-75.2794417696023,3.0332673
417,CALI,-76.5324943,3.4517922999999997
418,BUESACO,-77.123151775,1.3292917
419,MEDINA,-73.34928482966349,4.50788495
420,SAN ANDRÉS DE TUMACO,-78.50193730000001,2.2830077
421,ACACÍAS,-73.7583005,3.9861122000000004
422,CHACHAGÜÍ,-77.2743657529271,1.4051167
423,"BOGOTÁ, D.C.",,
424,DUITAMA,-73.0338939,5.8277055
425,ORITO,-76.8757743,0.6867328
426,CHACHAGÜÍ,-77.2743657529271,1.4051167
427,MEDELLÍN,-75.573553,6.2443382000000005
428,SOPETRÁN,-75.7263733529438,6.5175257
429,"BOGOTÁ, D.C.",,
430,SEVILLA,-75.8737996258707,4.1569974
431,IBAGUÉ,-75.2430012,4.4446595
432,BARRANQUILLA,-74.80130849999999,10.9799669
433,SOLANO,-72.5215039819948,0.24063245
434,LETICIA,-70.0885162871149,-3.58082345
435,"BOGOTÁ, D.C.",,
436,DUITAMA,-73.0338939,5.8277055
437,MEDELLÍN,-75.573553,6.2443382000000005
438,"BOGOTÁ, D.C.",,
439,MONIQUIRÁ,-73.5440979007064,5.86870335
440,BARRANQUILLA,-74.80130849999999,10.9799669
441,SANTA MARTA,-73.88035199979392,11.08665565
442,MELGAR,-74.645158,4.2040453
443,NEIVA,-75.2794417696023,3.0332673
444,CALI,-76.5324943,3.4517922999999997
445,SAN PEDRO,-75.0335463392267,9.39663005
446,PUERTO LÓPEZ,-72.9584671,4.085013
447,EL COLEGIO,-74.42547978928481,4.56026905
448,VILLAVICENCIO,-73.6206667,4.1315113
449,CALI,-76.5324943,3.4517922999999997
450,SOGAMOSO,-72.9279328,5.7148307
451,MELGAR,-74.645158,4.2040453
452,BUCARAMANGA,-73.11728690000001,7.111461099999999
453,VILLAVICENCIO,-73.6206667,4.1315113
454,PACHO,-74.15803790000001,5.131971900000001
455,MELGAR,-74.645158,4.2040453
456,IBAGUÉ,-75.2430012,4.4446595
457,"BOGOTÁ, D.C.",,
458,GIRARDOT,-74.8015665,4.306643
459,SOLANO,-72.5215039819948,0.24063245
460,GUAITARILLA,-77.5483421,1.1305245000000002
461,GUAITARILLA,-77.5483421,1.1305245000000002
462,BUCARAMANGA,-73.11728690000001,7.111461099999999
463,ARMENIA,-75.7396016646567,4.4923898
464,SAN JUAN NEPOMUCENO,-75.08402120000001,9.9511508
465,ARBOLEDAS,-72.7237135,7.6707184999999996
466,BUCARAMANGA,-73.11728690000001,7.111461099999999
467,SAN CRISTÓBAL,-75.0651165,10.3940196
468,TOLEDO,-72.4834315,7.308586599999999
469,TOLEDO,-72.4834315,7.308586599999999
470,PAMPLONA,-72.64641370844059,7.36771875
471,VILLANUEVA,-74.17475879999999,7.4533494000000005
472,MARMATO,-75.5988438,5.4746415
473,ANDALUCÍA,-76.1670623,4.1694199
474,VALLEDUPAR,-73.3757933882845,10.34311145
475,RIOHACHA,-72.90697840000001,11.544634
476,SALENTO,-75.569799,4.6373012000000005
477,TULUÁ,-76.0448661084283,4.03756405
478,MAICAO,-72.2388947,11.3779233
479,BARRANQUILLA,-74.80130849999999,10.9799669
480,ARMENIA,-75.7396016646567,4.4923898
481,FILANDIA,-75.6579957,4.6750767
482,CHINÚ,-75.3866274941264,9.02310485
483,PAZ DE ARIPORO,-70.9892140222308,5.77222035
484,CÓRDOBA,-79.4088901,-2.0367194
485,PASTO,-77.27825159999999,1.2146286
486,BARRANQUILLA,-74.80130849999999,10.9799669
487,TADÓ,-76.3796929515044,5.2672548
488,TOCA,-73.16845002049492,5.5771231
489,MEDELLÍN,-75.573553,6.2443382000000005
490,"BOGOTÁ, D.C.",,
491,TOLÚ VIEJO,,
492,LA TEBAIDA,-75.7887314,4.4512175
493,CHIMICHAGUA,-73.8200515024227,9.2380455
494,COROZAL,-75.2947262,9.3192389
495,URIBIA,-71.6768607116711,11.99171685
